,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-value,p-values
544,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-3.5-turbo,0.5,5.0,15.0,-10.0,,
545,France-Algeria,Single_Similar_And (SSA),gpt-3.5-turbo,0.5,15.0,15.0,0.0,,
546,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,15.0,15.0,0.0,,
547,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,15.0,10.0,5.0,,
548,China-Albania,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,5.0,5.0,0.0,,
549,U.S.A.-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,15.0,15.0,0.0,,
550,Japan-Philippines,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,10.0,15.0,-5.0,,
551,U.S.A.-Canada,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,18.0,18.0,0.0,,
552,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,5.0,5.0,0.0,,
553,England-Ireland,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,15.0,15.0,0.0,,
554,Germany-Austria,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,18.0,18.0,0.0,,
555,U.S.S.R.-France,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,10.0,5.0,5.0,,
556,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,17.0,15.0,2.0,,
557,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,10.0,6.0,4.0,,
558,China-North Korea,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,15.0,15.0,0.0,,
559,India-Sri Lanka,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,17.0,15.0,2.0,,
560,U.S.A.-France,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,15.0,14.0,1.0,,
561,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,16.0,15.0,1.0,,
562,England-Jordan,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,5.0,18.0,-13.0,,
563,France-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,10.0,12.0,-2.0,,
564,U.S.A.-Germany,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,15.0,15.0,0.0,,
565,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,5.0,15.0,-10.0,,
566,France-Algeria,Single_Similar_And (SSA),gpt-3.5-turbo,1.0,12.0,15.0,-3.0,,
567,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,16.0,15.0,1.0,,
568,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,15.0,15.0,0.0,,
569,China-Albania,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,6.0,5.0,1.0,,
570,U.S.A.-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,8.0,16.0,-8.0,,
571,Japan-Philippines,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,10.0,16.0,-6.0,,
572,U.S.A.-Canada,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,18.0,15.0,3.0,,
573,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,5.0,5.0,0.0,,
574,England-Ireland,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,15.0,10.0,5.0,,
575,Germany-Austria,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,18.0,18.0,0.0,,
576,U.S.S.R.-France,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,8.0,10.0,-2.0,,
577,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,16.0,16.0,0.0,,
578,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,10.0,10.0,0.0,,
579,China-North Korea,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,15.0,15.0,0.0,,
580,India-Sri Lanka,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,15.0,15.0,0.0,,
581,U.S.A.-France,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,15.0,10.0,5.0,,
582,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,18.0,15.0,3.0,,
583,England-Jordan,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,5.0,15.0,-10.0,,
584,France-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,12.0,12.0,0.0,,
585,U.S.A.-Germany,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,15.0,16.0,-1.0,,
586,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,5.0,10.0,-5.0,,
587,France-Algeria,Single_Similar_And (SSA),gpt-3.5-turbo,1.5,16.0,15.0,1.0,,
588,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-4,0.001,10.0,10.0,0.0,,
589,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-4,0.001,5.0,5.0,0.0,,
590,China-Albania,Single_Similar_And (SSA),gpt-4,0.001,5.0,5.0,0.0,,
591,U.S.A.-Israel,Single_Similar_And (SSA),gpt-4,0.001,10.0,12.0,-2.0,,
592,Japan-Philippines,Single_Similar_And (SSA),gpt-4,0.001,7.0,,,,
593,U.S.A.-Canada,Single_Similar_And (SSA),gpt-4,0.001,15.0,15.0,0.0,,
594,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-4,0.001,5.0,5.0,0.0,,
595,England-Ireland,Single_Similar_And (SSA),gpt-4,0.001,10.0,15.0,-5.0,,
596,Germany-Austria,Single_Similar_And (SSA),gpt-4,0.001,15.0,15.0,0.0,,
597,U.S.S.R.-France,Single_Similar_And (SSA),gpt-4,0.001,5.0,5.0,0.0,,
598,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-4,0.001,15.0,15.0,0.0,,
599,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-4,0.001,10.0,5.0,5.0,,
600,China-North Korea,Single_Similar_And (SSA),gpt-4,0.001,12.0,12.0,0.0,,
601,India-Sri Lanka,Single_Similar_And (SSA),gpt-4,0.001,12.0,15.0,-3.0,,
602,U.S.A.-France,Single_Similar_And (SSA),gpt-4,0.001,10.0,10.0,0.0,,
603,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-4,0.001,12.0,12.0,0.0,,
604,England-Jordan,Single_Similar_And (SSA),gpt-4,0.001,5.0,0.0,5.0,,
605,France-Israel,Single_Similar_And (SSA),gpt-4,0.001,7.0,7.0,0.0,,
606,U.S.A.-Germany,Single_Similar_And (SSA),gpt-4,0.001,10.0,12.0,-2.0,,
607,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-4,0.001,5.0,5.0,0.0,,
608,France-Algeria,Single_Similar_And (SSA),gpt-4,0.001,7.0,7.0,0.0,,
609,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-4,0.5,10.0,10.0,0.0,,
610,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-4,0.5,5.0,7.0,-2.0,,
611,China-Albania,Single_Similar_And (SSA),gpt-4,0.5,5.0,5.0,0.0,,
612,U.S.A.-Israel,Single_Similar_And (SSA),gpt-4,0.5,12.0,12.0,0.0,,
613,Japan-Philippines,Single_Similar_And (SSA),gpt-4,0.5,7.0,7.0,0.0,,
614,U.S.A.-Canada,Single_Similar_And (SSA),gpt-4,0.5,15.0,15.0,0.0,,
615,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-4,0.5,2.0,5.0,-3.0,,
616,England-Ireland,Single_Similar_And (SSA),gpt-4,0.5,15.0,15.0,0.0,,
617,Germany-Austria,Single_Similar_And (SSA),gpt-4,0.5,15.0,15.0,0.0,,
618,U.S.S.R.-France,Single_Similar_And (SSA),gpt-4,0.5,5.0,5.0,0.0,,
619,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-4,0.5,15.0,15.0,0.0,,
620,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-4,0.5,10.0,5.0,5.0,,
621,China-North Korea,Single_Similar_And (SSA),gpt-4,0.5,10.0,7.0,3.0,,
622,India-Sri Lanka,Single_Similar_And (SSA),gpt-4,0.5,,14.0,,,
623,U.S.A.-France,Single_Similar_And (SSA),gpt-4,0.5,10.0,10.0,0.0,,
624,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-4,0.5,12.0,12.0,0.0,,
625,England-Jordan,Single_Similar_And (SSA),gpt-4,0.5,5.0,1.0,4.0,,
626,France-Israel,Single_Similar_And (SSA),gpt-4,0.5,7.0,7.0,0.0,,
627,U.S.A.-Germany,Single_Similar_And (SSA),gpt-4,0.5,,12.0,,,
628,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-4,0.5,3.0,4.0,-1.0,,
629,France-Algeria,Single_Similar_And (SSA),gpt-4,0.5,7.0,5.0,2.0,,
630,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-4,1.0,8.0,10.0,-2.0,,
631,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-4,1.0,5.0,5.0,0.0,,
632,China-Albania,Single_Similar_And (SSA),gpt-4,1.0,8.0,5.0,3.0,,
633,U.S.A.-Israel,Single_Similar_And (SSA),gpt-4,1.0,10.0,12.0,-2.0,,
634,Japan-Philippines,Single_Similar_And (SSA),gpt-4,1.0,8.0,7.0,1.0,,
635,U.S.A.-Canada,Single_Similar_And (SSA),gpt-4,1.0,15.0,15.0,0.0,,
636,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-4,1.0,3.0,5.0,-2.0,,
637,England-Ireland,Single_Similar_And (SSA),gpt-4,1.0,10.0,14.0,-4.0,,
638,Germany-Austria,Single_Similar_And (SSA),gpt-4,1.0,16.0,16.0,0.0,,
639,U.S.S.R.-France,Single_Similar_And (SSA),gpt-4,1.0,5.0,6.0,-1.0,,
640,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-4,1.0,15.0,15.0,0.0,,
641,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-4,1.0,10.0,5.0,5.0,,
642,China-North Korea,Single_Similar_And (SSA),gpt-4,1.0,5.0,14.0,-9.0,,
643,India-Sri Lanka,Single_Similar_And (SSA),gpt-4,1.0,11.0,15.0,-4.0,,
644,U.S.A.-France,Single_Similar_And (SSA),gpt-4,1.0,12.0,12.0,0.0,,
645,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-4,1.0,12.0,12.0,0.0,,
646,England-Jordan,Single_Similar_And (SSA),gpt-4,1.0,3.0,0.0,3.0,,
647,France-Israel,Single_Similar_And (SSA),gpt-4,1.0,5.0,5.0,0.0,,
648,U.S.A.-Germany,Single_Similar_And (SSA),gpt-4,1.0,10.0,10.0,0.0,,
649,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-4,1.0,5.0,9.0,-4.0,,
650,France-Algeria,Single_Similar_And (SSA),gpt-4,1.0,10.0,7.0,3.0,,
651,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-4,1.5,15.0,10.0,5.0,,
652,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-4,1.5,5.0,12.0,-7.0,,
653,China-Albania,Single_Similar_And (SSA),gpt-4,1.5,3.0,1.0,2.0,,
654,U.S.A.-Israel,Single_Similar_And (SSA),gpt-4,1.5,10.0,15.0,-5.0,,
655,Japan-Philippines,Single_Similar_And (SSA),gpt-4,1.5,7.0,8.0,-1.0,,
656,U.S.A.-Canada,Single_Similar_And (SSA),gpt-4,1.5,15.0,15.0,0.0,,
657,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-4,1.5,7.0,5.0,2.0,,
658,England-Ireland,Single_Similar_And (SSA),gpt-4,1.5,10.0,12.0,-2.0,,
659,Germany-Austria,Single_Similar_And (SSA),gpt-4,1.5,17.0,15.0,2.0,,
660,U.S.S.R.-France,Single_Similar_And (SSA),gpt-4,1.5,12.0,6.0,6.0,,
661,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-4,1.5,16.0,15.0,1.0,,
662,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-4,1.5,9.0,10.0,-1.0,,
663,China-North Korea,Single_Similar_And (SSA),gpt-4,1.5,10.0,15.0,-5.0,,
664,India-Sri Lanka,Single_Similar_And (SSA),gpt-4,1.5,10.0,15.0,-5.0,,
665,U.S.A.-France,Single_Similar_And (SSA),gpt-4,1.5,12.0,10.0,2.0,,
666,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-4,1.5,12.0,12.0,0.0,,
667,England-Jordan,Single_Similar_And (SSA),gpt-4,1.5,3.0,1.0,2.0,,
668,France-Israel,Single_Similar_And (SSA),gpt-4,1.5,7.0,7.0,0.0,,
669,U.S.A.-Germany,Single_Similar_And (SSA),gpt-4,1.5,8.0,14.0,-6.0,,
670,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-4,1.5,3.0,3.0,0.0,,
671,France-Algeria,Single_Similar_And (SSA),gpt-4,1.5,6.0,9.0,-3.0,,
