,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff
508,Japan-Philippines,Dual_Similar_To (DST),gpt-3.5-turbo,,Japan-Philippines,Single_Similar_To (SST),gpt-3.5-turbo,-5.0,Japan-Philippines,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,Japan-Philippines,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,Japan-Philippines,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,Japan-Philippines,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
509,U.S.A.-Canada,Dual_Similar_To (DST),gpt-3.5-turbo,,U.S.A.-Canada,Single_Similar_To (SST),gpt-3.5-turbo,0.0,U.S.A.-Canada,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.A.-Canada,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,U.S.A.-Canada,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
510,U.S.S.R.-Israel,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.S.R.-Israel,Single_Similar_To (SST),gpt-3.5-turbo,0.0,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),gpt-3.5-turbo,2.0
511,England-Ireland,Dual_Similar_To (DST),gpt-3.5-turbo,,England-Ireland,Single_Similar_To (SST),gpt-3.5-turbo,0.0,England-Ireland,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,England-Ireland,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,England-Ireland,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,England-Ireland,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
512,Germany-Austria,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,Germany-Austria,Single_Similar_To (SST),gpt-3.5-turbo,0.0,Germany-Austria,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,Germany-Austria,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,Germany-Austria,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,Germany-Austria,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
513,U.S.S.R.-France,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.S.R.-France,Single_Similar_To (SST),gpt-3.5-turbo,5.0,U.S.S.R.-France,Single_Similar_And (SSA),gpt-3.5-turbo,5.0,U.S.S.R.-France,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.S.R.-France,Single_Similar_Degree (SSD),gpt-3.5-turbo,5,U.S.S.R.-France,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
514,Belgium-Luxembourg,Dual_Similar_To (DST),gpt-3.5-turbo,,Belgium-Luxembourg,Single_Similar_To (SST),gpt-3.5-turbo,0.0,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-3.5-turbo,3.0,Belgium-Luxembourg,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,Belgium-Luxembourg,Single_Similar_Degree (SSD),gpt-3.5-turbo,3,Belgium-Luxembourg,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
515,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),gpt-3.5-turbo,5.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-3.5-turbo,5.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),gpt-3.5-turbo,5,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
516,China-North Korea,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,China-North Korea,Single_Similar_To (SST),gpt-3.5-turbo,-5.0,China-North Korea,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,China-North Korea,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,China-North Korea,Single_Similar_Degree (SSD),gpt-3.5-turbo,-5,China-North Korea,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
517,India-Sri Lanka,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,India-Sri Lanka,Single_Similar_To (SST),gpt-3.5-turbo,0.0,India-Sri Lanka,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,India-Sri Lanka,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,India-Sri Lanka,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,India-Sri Lanka,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
518,U.S.A.-France,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.A.-France,Single_Similar_To (SST),gpt-3.5-turbo,0.0,U.S.A.-France,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,U.S.A.-France,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.A.-France,Single_Similar_Degree (SSD),gpt-3.5-turbo,5,U.S.A.-France,Dual_Similar_Degree (DSD),gpt-3.5-turbo,
519,U.S.S.R.-Cuba,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.S.R.-Cuba,Single_Similar_To (SST),gpt-3.5-turbo,0.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),gpt-3.5-turbo,
520,England-Jordan,Dual_Similar_To (DST),gpt-3.5-turbo,,England-Jordan,Single_Similar_To (SST),gpt-3.5-turbo,-5.0,England-Jordan,Single_Similar_And (SSA),gpt-3.5-turbo,-10.0,England-Jordan,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,England-Jordan,Single_Similar_Degree (SSD),gpt-3.5-turbo,-10,England-Jordan,Dual_Similar_Degree (DSD),gpt-3.5-turbo,
521,France-Israel,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,France-Israel,Single_Similar_To (SST),gpt-3.5-turbo,0.0,France-Israel,Single_Similar_And (SSA),gpt-3.5-turbo,-2.0,France-Israel,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,France-Israel,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,France-Israel,Dual_Similar_Degree (DSD),gpt-3.5-turbo,
522,U.S.A.-Germany,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.A.-Germany,Single_Similar_To (SST),gpt-3.5-turbo,0.0,U.S.A.-Germany,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,U.S.A.-Germany,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.A.-Germany,Single_Similar_Degree (SSD),gpt-3.5-turbo,0,U.S.A.-Germany,Dual_Similar_Degree (DSD),gpt-3.5-turbo,
523,U.S.S.R.-Syria,Dual_Similar_To (DST),gpt-3.5-turbo,0.0,U.S.S.R.-Syria,Single_Similar_To (SST),gpt-3.5-turbo,-10.0,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-3.5-turbo,-5.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),gpt-3.5-turbo,-10,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),gpt-3.5-turbo,
524,France-Algeria,Dual_Similar_To (DST),gpt-3.5-turbo,,France-Algeria,Single_Similar_To (SST),gpt-3.5-turbo,5.0,France-Algeria,Single_Similar_And (SSA),gpt-3.5-turbo,0.0,France-Algeria,Dual_Similar_And (DSA),gpt-3.5-turbo,0.0,France-Algeria,Single_Similar_Degree (SSD),gpt-3.5-turbo,-5,France-Algeria,Dual_Similar_Degree (DSD),gpt-3.5-turbo,0.0
588,U.S.A.-Mexico,Dual_Similar_To (DST),gpt-4,0.0,U.S.A.-Mexico,Single_Similar_To (SST),gpt-4,0.0,U.S.A.-Mexico,Single_Similar_And (SSA),gpt-4,0.0,U.S.A.-Mexico,Dual_Similar_And (DSA),gpt-4,0.0,U.S.A.-Mexico,Single_Similar_Degree (SSD),gpt-4,-2,U.S.A.-Mexico,Dual_Similar_Degree (DSD),gpt-4,0.0
589,U.S.S.R.-Poland,Dual_Similar_To (DST),gpt-4,0.0,U.S.S.R.-Poland,Single_Similar_To (SST),gpt-4,-5.0,U.S.S.R.-Poland,Single_Similar_And (SSA),gpt-4,0.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),gpt-4,0.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),gpt-4,0,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),gpt-4,0.0
590,China-Albania,Dual_Similar_To (DST),gpt-4,0.0,China-Albania,Single_Similar_To (SST),gpt-4,0.0,China-Albania,Single_Similar_And (SSA),gpt-4,0.0,China-Albania,Dual_Similar_And (DSA),gpt-4,0.0,China-Albania,Single_Similar_Degree (SSD),gpt-4,0,China-Albania,Dual_Similar_Degree (DSD),gpt-4,0.0
591,U.S.A.-Israel,Dual_Similar_To (DST),gpt-4,0.0,U.S.A.-Israel,Single_Similar_To (SST),gpt-4,-2.0,U.S.A.-Israel,Single_Similar_And (SSA),gpt-4,-2.0,U.S.A.-Israel,Dual_Similar_And (DSA),gpt-4,0.0,U.S.A.-Israel,Single_Similar_Degree (SSD),gpt-4,-2,U.S.A.-Israel,Dual_Similar_Degree (DSD),gpt-4,0.0
592,Japan-Philippines,Dual_Similar_To (DST),gpt-4,0.0,Japan-Philippines,Single_Similar_To (SST),gpt-4,0.0,Japan-Philippines,Single_Similar_And (SSA),gpt-4,,Japan-Philippines,Dual_Similar_And (DSA),gpt-4,0.0,Japan-Philippines,Single_Similar_Degree (SSD),gpt-4,-3,Japan-Philippines,Dual_Similar_Degree (DSD),gpt-4,0.0
593,U.S.A.-Canada,Dual_Similar_To (DST),gpt-4,0.0,U.S.A.-Canada,Single_Similar_To (SST),gpt-4,0.0,U.S.A.-Canada,Single_Similar_And (SSA),gpt-4,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),gpt-4,0.0,U.S.A.-Canada,Single_Similar_Degree (SSD),gpt-4,0,U.S.A.-Canada,Dual_Similar_Degree (DSD),gpt-4,0.0
594,U.S.S.R.-Israel,Dual_Similar_To (DST),gpt-4,0.0,U.S.S.R.-Israel,Single_Similar_To (SST),gpt-4,0.0,U.S.S.R.-Israel,Single_Similar_And (SSA),gpt-4,0.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),gpt-4,0.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),gpt-4,0,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),gpt-4,0.0
595,England-Ireland,Dual_Similar_To (DST),gpt-4,0.0,England-Ireland,Single_Similar_To (SST),gpt-4,0.0,England-Ireland,Single_Similar_And (SSA),gpt-4,-5.0,England-Ireland,Dual_Similar_And (DSA),gpt-4,0.0,England-Ireland,Single_Similar_Degree (SSD),gpt-4,0,England-Ireland,Dual_Similar_Degree (DSD),gpt-4,0.0
596,Germany-Austria,Dual_Similar_To (DST),gpt-4,0.0,Germany-Austria,Single_Similar_To (SST),gpt-4,3.0,Germany-Austria,Single_Similar_And (SSA),gpt-4,0.0,Germany-Austria,Dual_Similar_And (DSA),gpt-4,0.0,Germany-Austria,Single_Similar_Degree (SSD),gpt-4,0,Germany-Austria,Dual_Similar_Degree (DSD),gpt-4,0.0
597,U.S.S.R.-France,Dual_Similar_To (DST),gpt-4,0.0,U.S.S.R.-France,Single_Similar_To (SST),gpt-4,0.0,U.S.S.R.-France,Single_Similar_And (SSA),gpt-4,0.0,U.S.S.R.-France,Dual_Similar_And (DSA),gpt-4,0.0,U.S.S.R.-France,Single_Similar_Degree (SSD),gpt-4,0,U.S.S.R.-France,Dual_Similar_Degree (DSD),gpt-4,0.0
598,Belgium-Luxembourg,Dual_Similar_To (DST),gpt-4,0.0,Belgium-Luxembourg,Single_Similar_To (SST),gpt-4,3.0,Belgium-Luxembourg,Single_Similar_And (SSA),gpt-4,0.0,Belgium-Luxembourg,Dual_Similar_And (DSA),gpt-4,0.0,Belgium-Luxembourg,Single_Similar_Degree (SSD),gpt-4,0,Belgium-Luxembourg,Dual_Similar_Degree (DSD),gpt-4,0.0
599,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),gpt-4,0.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),gpt-4,0.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),gpt-4,5.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),gpt-4,0.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),gpt-4,0,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),gpt-4,0.0
600,China-North Korea,Dual_Similar_To (DST),gpt-4,0.0,China-North Korea,Single_Similar_To (SST),gpt-4,0.0,China-North Korea,Single_Similar_And (SSA),gpt-4,0.0,China-North Korea,Dual_Similar_And (DSA),gpt-4,0.0,China-North Korea,Single_Similar_Degree (SSD),gpt-4,-3,China-North Korea,Dual_Similar_Degree (DSD),gpt-4,0.0
601,India-Sri Lanka,Dual_Similar_To (DST),gpt-4,0.0,India-Sri Lanka,Single_Similar_To (SST),gpt-4,0.0,India-Sri Lanka,Single_Similar_And (SSA),gpt-4,-3.0,India-Sri Lanka,Dual_Similar_And (DSA),gpt-4,0.0,India-Sri Lanka,Single_Similar_Degree (SSD),gpt-4,-3,India-Sri Lanka,Dual_Similar_Degree (DSD),gpt-4,0.0
602,U.S.A.-France,Dual_Similar_To (DST),gpt-4,0.0,U.S.A.-France,Single_Similar_To (SST),gpt-4,0.0,U.S.A.-France,Single_Similar_And (SSA),gpt-4,0.0,U.S.A.-France,Dual_Similar_And (DSA),gpt-4,0.0,U.S.A.-France,Single_Similar_Degree (SSD),gpt-4,-2,U.S.A.-France,Dual_Similar_Degree (DSD),gpt-4,0.0
603,U.S.S.R.-Cuba,Dual_Similar_To (DST),gpt-4,0.0,U.S.S.R.-Cuba,Single_Similar_To (SST),gpt-4,0.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),gpt-4,0.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),gpt-4,0.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),gpt-4,0,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),gpt-4,0.0
604,England-Jordan,Dual_Similar_To (DST),gpt-4,0.0,England-Jordan,Single_Similar_To (SST),gpt-4,5.0,England-Jordan,Single_Similar_And (SSA),gpt-4,5.0,England-Jordan,Dual_Similar_And (DSA),gpt-4,0.0,England-Jordan,Single_Similar_Degree (SSD),gpt-4,3,England-Jordan,Dual_Similar_Degree (DSD),gpt-4,0.0
605,France-Israel,Dual_Similar_To (DST),gpt-4,0.0,France-Israel,Single_Similar_To (SST),gpt-4,0.0,France-Israel,Single_Similar_And (SSA),gpt-4,0.0,France-Israel,Dual_Similar_And (DSA),gpt-4,0.0,France-Israel,Single_Similar_Degree (SSD),gpt-4,3,France-Israel,Dual_Similar_Degree (DSD),gpt-4,0.0
606,U.S.A.-Germany,Dual_Similar_To (DST),gpt-4,0.0,U.S.A.-Germany,Single_Similar_To (SST),gpt-4,-5.0,U.S.A.-Germany,Single_Similar_And (SSA),gpt-4,-2.0,U.S.A.-Germany,Dual_Similar_And (DSA),gpt-4,0.0,U.S.A.-Germany,Single_Similar_Degree (SSD),gpt-4,-2,U.S.A.-Germany,Dual_Similar_Degree (DSD),gpt-4,0.0
607,U.S.S.R.-Syria,Dual_Similar_To (DST),gpt-4,0.0,U.S.S.R.-Syria,Single_Similar_To (SST),gpt-4,0.0,U.S.S.R.-Syria,Single_Similar_And (SSA),gpt-4,0.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),gpt-4,0.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),gpt-4,0,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),gpt-4,0.0
608,France-Algeria,Dual_Similar_To (DST),gpt-4,0.0,France-Algeria,Single_Similar_To (SST),gpt-4,5.0,France-Algeria,Single_Similar_And (SSA),gpt-4,0.0,France-Algeria,Dual_Similar_And (DSA),gpt-4,0.0,France-Algeria,Single_Similar_Degree (SSD),gpt-4,0,France-Algeria,Dual_Similar_Degree (DSD),gpt-4,0.0
